17279     137178     172410 
17280          0      23487 
17280      23488      39703 
17280      39704      67108 
17280      67109     102335 
17280     102336     133656 
17280     133657     168886 
17281          0      19578 
17281      19579      46987 
17281      46988      74396 
17281      74397     109636 
17281     109637     144863 
17281     144864     176180 
17282          0      19574 
17282      19575      74563 
17282      74564     109798 
17282     109799     175084 
17283          0      19574 
17283      19575      78306 
17283      78307     111123 
17283     111124     146354 
17285          0      18450 
17285      18451      43070 
17286          0      23489 
17286      23490      58729 
17286      58730      93974 
17286      93975     129217 
17286     129218     162112 
17286     162113     197351 
17287          0      23490 
17289          0      17829 
17289      17830      53056 
17289      53057      84377 
17289      84378     119602 
17289     119603     154832 
17289     154833     190065 
17290          0      19569 
17290      19570      44541 
17290      44542      74538 
17290      74539     109768 
17290     109769     145007 
17290     145008     180235 
17291          0      19573 
17291      19574      41325 
17291      41326      68723 
17291      68724      96129 
17291      96130     131365 
17291     131366     166600 
17292          0      23489 
17292      23490      43066 
17292      43067      95889 
17292      95890     127214 
17292     127215     157293 
17301          0      19571 
17301      19572      44624 
17301      44625      75160 
17301      75161     110397 
17301     110398     141721 
17301     141722     173041 
17302          0      19577 
17302      19578      46525 
17302      46526      77851 
17302      77852     113089 
17302     113090     148327 
17302     148328     187483 
17303          0      27705 
17303      27706      74683 
17303      74684      93624 
17304          0      19576 
17304      19577      46980 
17304      46981      83400 
17305          0      19572 
17305      19573      46977 
17305      46978      79249 
17305      79250     106290 
17305     106291     141013 
17305     141014     175183 
17306          0      19568 
17306      19569      71485 
17306      71486     106486 
17306     106487     133452 
17306     133453     168693 
17307          0      19572 
17307      19573      46968 
17307      46969      79323 
17307      79324     114302 
17307     114303     149111 
17307     149112     176511 
17308          0      14916 
17308      14917      42319 
17308      42320      73638 
17308      73639     104959 
17308     104960     140197 
17308     140198     174205 
17309          0      19570 
17309      19571      46965 
17309      46966      82194 
17311          0      31316 
17311      31317      57905 
17311      57906      93139 
17312          0      19580 
17312      19581      50393 
17312      50394      85460 
17313          0      19571 
17313      19572      50889 
17314          0      19581 
17316          0      23491 
17316      23492      46981 
17316      46982      78299 
17316      78300     113536 
17316     113537     147573 
17316     147574     174979 
17317          0      25032 
17317      25033      44607 
17317      44608      75931 
17317      75932     111173 
17317     111174     138580 
17317     138581     169899 
17318          0      18830 
17318      18831      50144 
17318      50145      85379 
17320          0      31320 
17320      31321      63423 
17320      63424      86913 
17320      86914     122151 
17331          0      27399 
17331      27400      58308 
17334          0      19575 
17334      19576      50901 
17334      50902      86139 
17334      86140     120453 
17334     120454     155694 
17334     155695     190938 
17335          0      19574 
17335      19575      45618 
17335      45619      84208 
17335      84209     119451 
17335     119452     149849 
17336          0      34232 
17336      34233      61640 
17336      61641     120826 
17336     120827     156067 
